title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
Erin Brockovich,52000000,256271286,131,['Drama'],7.5141,7.442,3339,False,Steven Soderbergh,Julia Roberts,204271286,0.7970900259188616,2000,Jersey Films,Drama,,
Moonfall,146000000,67319703,131,"['Science Fiction', 'Adventure', 'Action']",7.5094,6.282,3276,False,Roland Emmerich,Halle Berry,-78680297,-1.1687558544338794,2022,Centropolis Entertainment,Science Fiction,Adventure,Action
Morbius,75000000,167635712,105,"['Action', 'Science Fiction', 'Fantasy']",7.5066,5.961,4488,False,Daniel Espinosa,Jared Leto,92635712,0.5526012977473439,2022,Columbia Pictures,Action,Science Fiction,Fantasy
Gemini Man,140000000,173469516,117,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",7.5009,6.3,5220,False,Ang Lee,Will Smith,33469516,0.19294177312398797,2019,Skydance Media,Science Fiction,Action,Adventure
Hancock,150000000,629400000,92,"['Fantasy', 'Action']",7.5005,6.348,9777,False,Peter Berg,Will Smith,479400000,0.7616777883698761,2008,Columbia Pictures,Fantasy,Action,
G.I. Joe: The Rise of Cobra,175000000,302500000,118,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",7.4871,5.8,4685,True,Stephen Sommers,Adewale Akinnuoye-Agbaje,127500000,0.4214876033057851,2009,Paramount Pictures,Adventure,Action,Thriller
A Walk to Remember,11800000,47494916,101,"['Drama', 'Romance']",7.4846,7.755,4102,False,Adam Shankman,Mandy Moore,35694916,0.7515523556247579,2002,Gaylord Films,Drama,Romance,
Tears of the Sun,75000000,86500000,121,"['War', 'Action', 'Drama']",7.4808,6.9,2433,False,Antoine Fuqua,Bruce Willis,11500000,0.1329479768786127,2003,Columbia Pictures,War,Action,Drama
Unstoppable,100000000,167805466,98,"['Action', 'Thriller']",7.4725,6.591,3646,False,Tony Scott,Denzel Washington,67805466,0.40407185544242047,2010,20th Century Fox,Action,Thriller,
A Haunting in Venice,60000000,121400000,104,"['Mystery', 'Thriller', 'Crime']",7.4687,6.599,2503,True,Kenneth Branagh,Kenneth Branagh,61400000,0.5057660626029654,2023,20th Century Studios,Mystery,Thriller,Crime
Waiting...,3000000,18637690,94,"['Comedy', 'Romance']",7.4537,6.236,898,True,Rob McKittrick,Ryan Reynolds,15637690,0.8390358461805084,2005,LIFT Productions,Comedy,Romance,
The A-Team,110000000,177238796,117,"['Action', 'Comedy', 'Crime']",7.4372,6.4,4735,False,Joe Carnahan,Liam Neeson,67238796,0.3793683861404701,2010,Phoenix Film Partners,Action,Comedy,Crime
The Equalizer 2,62000000,190400157,121,"['Action', 'Thriller', 'Crime']",7.431,6.771,5549,True,Antoine Fuqua,Denzel Washington,128400157,0.6743700164070768,2018,Lonetree Entertainment,Action,Thriller,Crime
The Loft,14000000,10100000,108,['Thriller'],7.4128,6.422,1487,False,Erik Van Looy,Karl Urban,-3900000,-0.38613861386138615,2014,Open Road Films,Thriller,,
The First Purge,13000000,137056262,97,"['Action', 'Horror', 'Thriller']",7.4107,6.0,4057,True,Gerard McMurray,Y'lan Noel,124056262,0.9051484418858585,2018,Platinum Dunes,Action,Horror,Thriller
The Lost City of Z,30000000,8574339,141,"['Adventure', 'Drama', 'History']",7.4075,6.397,2908,False,James Gray,Charlie Hunnam,-21425661,-2.498811978392737,2017,Northern Ireland Screen,Adventure,Drama,History
The Boy,10000000,73929392,98,"['Horror', 'Mystery', 'Thriller']",7.3952,5.964,3802,True,William Brent Bell,Lauren Cohan,63929392,0.8647358008841733,2016,Lakeshore Entertainment,Horror,Mystery,Thriller
The Mouse Trap,800000,5737,80,"['Horror', 'Thriller']",7.3856,4.273,88,True,Jamie Bailey,Simon Phillips,-794263,-138.44570332926617,2024,Into Frame Productions,Horror,Thriller,
The Witch,4000000,40423945,92,"['Horror', 'Fantasy', 'Drama']",7.378,6.985,7209,False,Robert Eggers,Anya Taylor-Joy,36423945,0.9010487472214798,2016,Very Special Projects,Horror,Fantasy,Drama
Charlie's Angels: Full Throttle,120000000,259175788,106,"['Action', 'Adventure', 'Comedy']",7.3719,5.5,3108,True,McG,Cameron Diaz,139175788,0.5369937873980728,2003,Wonderland Sound and Vision,Action,Adventure,Comedy
Training Day,45000000,104900000,122,"['Action', 'Crime', 'Drama']",7.3622,7.504,6138,True,Antoine Fuqua,Denzel Washington,59900000,0.5710200190657769,2001,WV Films II,Action,Crime,Drama
Don't Worry Darling,35000000,86700000,123,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",7.3589,6.8,2637,False,Olivia Wilde,Florence Pugh,51700000,0.5963091118800461,2022,Vertigo Entertainment,Horror,Mystery,Science Fiction
The Invisible Man,7000000,144492724,124,"['Thriller', 'Science Fiction', 'Horror']",7.3572,7.11,5866,False,Leigh Whannell,Elisabeth Moss,137492724,0.9515546540599511,2020,Blumhouse Productions,Thriller,Science Fiction,Horror
Snake Eyes: G.I. Joe Origins,88000000,36964325,121,"['Action', 'Adventure']",7.3542,6.5,1596,False,Robert Schwentke,Henry Golding,-51035675,-1.3806737983177022,2021,Paramount Pictures,Action,Adventure,
Ma,5000000,51749995,99,"['Horror', 'Thriller']",7.3454,5.821,2309,False,Tate Taylor,Octavia Spencer,46749995,0.9033816331769694,2019,Blumhouse Productions,Horror,Thriller,
The Dressmaker,11930000,25003426,118,"['Drama', 'Comedy', 'Western']",7.3432,7.002,1681,False,Jocelyn Moorhouse,Kate Winslet,13073426,0.5228653865274303,2015,White Hot Productions,Drama,Comedy,Western
Spiral: From the Book of Saw,20000000,40618920,93,"['Horror', 'Mystery']",7.3406,5.937,2110,True,Darren Lynn Bousman,Chris Rock,20618920,0.5076186171370386,2021,Twisted Pictures,Horror,Mystery,
The Secret Life of Walter Mitty,90000000,188133322,114,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",7.3398,7.2,7791,False,Ben Stiller,Ben Stiller,98133322,0.5216158464474464,2013,20th Century Fox,Adventure,Comedy,Drama
The Whale,3000000,55101305,117,['Drama'],7.3202,7.814,4184,False,Darren Aronofsky,Brendan Fraser,52101305,0.9455548285108674,2022,A24,Drama,,
Terminator 3: Rise of the Machines,200000000,435000000,109,"['Action', 'Thriller', 'Science Fiction']",7.3171,6.169,6822,True,Jonathan Mostow,Arnold Schwarzenegger,235000000,0.5402298850574713,2003,IMF Productions,Action,Thriller,Science Fiction
Perfume: The Story of a Murderer,60000000,135039924,147,"['Crime', 'Fantasy', 'Drama']",7.3165,7.4,4694,False,Tom Tykwer,Ben Whishaw,75039924,0.5556869537337713,2006,Rising Star Productions,Crime,Fantasy,Drama
Waves,6000000,2576990,135,"['Romance', 'Drama']",7.3071,7.388,735,False,Trey Edward Shults,"Kelvin Harrison, Jr.",-3423010,-1.3282977427153384,2019,A24,Romance,Drama,
The Sum of All Fears,68000000,193921372,124,"['Thriller', 'Action', 'Drama']",7.3027,6.358,1778,False,Phil Alden Robinson,Ben Affleck,125921372,0.6493424149247459,2002,Paramount Pictures,Thriller,Action,Drama
Movie 43,6000000,32443111,94,['Comedy'],7.3023,4.616,2370,False,Steven Brill,Dennis Quaid,26443111,0.8150608922800283,2013,Witness Protection Films,Comedy,,
Arthur the King,19000000,40829138,107,"['Adventure', 'Drama']",7.3014,7.598,792,False,Simon Cellan Jones,Mark Wahlberg,21829138,0.5346460657582337,2024,Entertainment One,Adventure,Drama,
Red Dawn,65000000,44806783,93,"['Action', 'Thriller']",7.2982,5.705,1648,False,Dan Bradley,Chris Hemsworth,-20193217,-0.45067321615122424,2012,Contrafilm,Action,Thriller,
Immortals,75000000,226904017,110,"['Fantasy', 'Action', 'Drama']",7.2893,6.028,2645,False,Tarsem Singh,Henry Cavill,151904017,0.6694637627327682,2011,Relativity Media,Fantasy,Action,Drama
Shazam!,80000000,367799011,132,"['Action', 'Comedy', 'Fantasy']",7.2886,6.994,9723,True,David F. Sandberg,Zachary Levi,287799011,0.7824898990824094,2019,New Line Cinema,Action,Comedy,Fantasy
Gangs of New York,100000000,193772504,168,"['Drama', 'History', 'Crime']",7.2831,7.318,6769,False,Martin Scorsese,Leonardo DiCaprio,93772504,0.4839309090003812,2002,Miramax,Drama,History,Crime
Knight and Day,117000000,261989769,109,"['Action', 'Comedy']",7.2763,6.2,4611,False,James Mangold,Tom Cruise,144989769,0.5534176756345016,2010,Pink Machine,Action,Comedy,
Gifted,7000000,40300000,101,"['Drama', 'Comedy']",7.2751,8.0,5666,False,Marc Webb,Chris Evans,33300000,0.826302729528536,2017,Grade A Entertainment,Drama,Comedy,
Monsters vs Aliens,175000000,381509870,94,"['Animation', 'Family', 'Adventure', 'Science Fiction']",7.2736,6.22,4726,False,Conrad Vernon,Reese Witherspoon,206509870,0.5412962710506022,2009,DreamWorks Animation,Animation,Family,Adventure
Secretary,4000000,9300000,111,"['Romance', 'Drama', 'Comedy']",7.2713,6.8,1706,False,Steven Shainberg,James Spader,5300000,0.5698924731182796,2002,Slough Pond,Romance,Drama,Comedy
Hellboy: The Crooked Man,20000000,2014050,100,"['Fantasy', 'Horror', 'Action']",7.271,5.276,409,False,Brian Taylor,Jack Kesy,-17985950,-8.930240063553537,2024,Dark Horse Entertainment,Fantasy,Horror,Action
The Good Dinosaur,175000000,332207671,93,"['Adventure', 'Animation', 'Family']",7.2631,6.739,5692,False,Peter Sohn,Frances McDormand,157207671,0.4732210744164303,2015,Pixar,Adventure,Animation,Family
The Exorcism,22000000,12610418,96,"['Horror', 'Thriller']",7.257,5.071,339,False,Joshua John Miller,Russell Crowe,-9389582,-0.7445892753118889,2024,Miramax,Horror,Thriller,
The Killer,30000000,318618,126,"['Action', 'Thriller', 'Crime']",7.2517,6.367,417,False,John Woo,Nathalie Emmanuel,-29681382,-93.1566389846148,2024,Universal Pictures,Action,Thriller,Crime
Snow White and the Huntsman,170000000,396600000,127,"['Adventure', 'Fantasy', 'Drama']",7.2311,6.0,7972,True,Rupert Sanders,Kristen Stewart,226600000,0.5713565305093293,2012,Universal Pictures,Adventure,Fantasy,Drama
Need for Speed,66000000,203277636,131,"['Action', 'Crime', 'Drama', 'Thriller']",7.2193,6.4,4440,False,Scott Waugh,Aaron Paul,137277636,0.6753208995405673,2014,DreamWorks Pictures,Action,Crime,Drama
The Cat in the Hat,109000000,133800000,81,"['Family', 'Comedy', 'Adventure', 'Fantasy']",7.2117,5.294,1698,False,Bo Welch,Mike Myers,24800000,0.18535127055306427,2003,Universal Pictures,Family,Comedy,Adventure
Cuckoo,7000000,6680396,103,"['Horror', 'Mystery', 'Thriller']",7.2115,5.736,348,False,Tilman Singer,Hunter Schafer,-319604,-0.04784207403273698,2024,Waypoint Entertainment,Horror,Mystery,Thriller
The Exorcism of Emily Rose,19000000,145166804,122,"['Crime', 'Drama', 'Horror', 'Thriller']",7.2037,6.596,2852,False,Scott Derrickson,Laura Linney,126166804,0.8691160824894926,2005,Lakeshore Entertainment,Crime,Drama,Horror
Bridget Jones's Diary,25000000,281929795,97,"['Comedy', 'Romance', 'Drama']",7.1977,6.7,5220,True,Sharon Maguire,Renée Zellweger,256929795,0.9113254418533522,2001,Universal Pictures,Comedy,Romance,Drama
Crazy Rich Asians,30000000,238539198,121,"['Comedy', 'Romance']",7.1973,7.067,3728,False,Jon M. Chu,Constance Wu,208539198,0.874234506313717,2018,SK Global Entertainment,Comedy,Romance,
Shallow Hal,40000000,141069860,114,"['Comedy', 'Romance']",7.1898,6.2,2953,False,Bobby Farrelly,Jack Black,101069860,0.7164525434419514,2001,20th Century Fox,Comedy,Romance,
Freddy vs. Jason,30000000,116643421,97,['Horror'],7.1883,6.061,2669,True,Ronny Yu,Robert Englund,86643421,0.7428058972996,2003,Yannix Technology Corporation,Horror,,
Nightbitch,20000000,170737,98,"['Comedy', 'Horror']",7.1821,5.8,267,False,Marielle Heller,Amy Adams,-19829263,-116.13922582685652,2024,Annapurna Pictures,Comedy,Horror,
Happy Feet,100000000,384335608,108,"['Animation', 'Comedy', 'Family']",7.1789,6.201,5207,True,George Miller,Elijah Wood,284335608,0.7398107333317916,2006,Kennedy Miller Productions,Animation,Comedy,Family
Silent Hill,50000000,100605135,125,"['Horror', 'Mystery']",7.1655,6.59,4445,True,Christophe Gans,Radha Mitchell,50605135,0.5030074757118511,2006,Silent Hill DCP Inc.,Horror,Mystery,
The Descent,3500000,57130027,99,"['Adventure', 'Horror']",7.1592,7.0,4034,True,Neil Marshall,Shauna Macdonald,53630027,0.9387362446021599,2005,Celador Films,Adventure,Horror,
Vanilla Sky,68000000,203388341,136,"['Mystery', 'Romance', 'Science Fiction']",7.1583,6.8,4289,False,Cameron Crowe,Tom Cruise,135388341,0.6656642181864298,2001,Paramount Pictures,Mystery,Romance,Science Fiction
Puss in Boots,130000000,554987477,90,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Action']",7.1512,6.6,4210,True,Chris Miller,Antonio Banderas,424987477,0.7657604803936864,2011,DreamWorks Animation,Animation,Family,Fantasy
The Mule,50000000,174800000,116,"['Crime', 'Drama']",7.1456,6.858,5079,False,Clint Eastwood,Clint Eastwood,124800000,0.7139588100686499,2018,Imperative Entertainment,Crime,Drama,
The French Dispatch,25000000,46333545,108,"['Drama', 'Comedy']",7.1387,7.0,2710,False,Wes Anderson,Benicio del Toro,21333545,0.46043411959952557,2021,Indian Paintbrush,Drama,Comedy,
22 Jump Street,50000000,331333876,112,"['Crime', 'Comedy', 'Action']",7.1269,6.83,8095,True,Phil Lord,Jonah Hill,281333876,0.849094814561008,2014,Columbia Pictures,Crime,Comedy,Action
Dance Flick,25000000,31439140,83,"['Music', 'Comedy', 'Action']",7.1226,4.878,274,False,Damien Dante Wayans,Shoshana Bush,6439140,0.20481285429563276,2009,Paramount Pictures,Music,Comedy,Action
Dark Shadows,150000000,245527149,113,"['Comedy', 'Fantasy']",7.1224,6.093,7302,False,Tim Burton,Johnny Depp,95527149,0.38906959735031177,2012,Tim Burton Productions,Comedy,Fantasy,
Miller's Girl,4000000,1430985,93,"['Thriller', 'Comedy', 'Drama']",7.121,6.37,814,False,Jade Halley Bartlett,Jenna Ortega,-2569015,-1.7952773788684018,2024,Point Grey Pictures,Thriller,Comedy,Drama
A Dog's Purpose,22000000,205000000,100,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",7.1097,7.637,3390,True,Lasse Hallström,Josh Gad,183000000,0.8926829268292683,2017,Amblin Entertainment,Adventure,Comedy,Fantasy
The Mechanic,40000000,51070807,93,"['Action', 'Thriller', 'Crime']",7.1086,6.518,3339,True,Simon West,Jason Statham,11070807,0.2167736844260166,2011,CBS Films,Action,Thriller,Crime
Blood Diamond,100000000,171700000,143,"['Drama', 'Thriller', 'Action']",7.108,7.5,7841,False,Edward Zwick,Leonardo DiCaprio,71700000,0.41758881770529993,2006,Virtual Studios,Drama,Thriller,Action
The Last Duel,100000000,30552111,153,"['History', 'Drama', 'Action']",7.0963,7.428,3524,False,Ridley Scott,Jodie Comer,-69447889,-2.273096251843285,2021,20th Century Studios,History,Drama,Action
A Haunted House 2,4000000,25343661,87,"['Comedy', 'Horror']",7.0919,6.156,1493,True,Michael Tiddes,Marlon Wayans,21343661,0.8421696060407373,2014,Automatik Entertainment,Comedy,Horror,
Here Comes the Boom,42000000,73100000,105,"['Comedy', 'Action', 'Drama']",7.0891,6.202,1481,False,Frank Coraci,Kevin James,31100000,0.42544459644322846,2012,Broken Road Productions,Comedy,Action,Drama
Triangle of Sadness,15600000,24733572,147,"['Comedy', 'Drama']",7.0875,7.058,2434,False,Ruben Östlund,Harris Dickinson,9133572,0.36927832340593586,2022,30WEST,Comedy,Drama,
Rings,25000000,83080890,102,['Horror'],7.0727,4.995,2522,True,F. Javier Gutiérrez,Matilda Lutz,58080890,0.6990884426009398,2017,Paramount Pictures,Horror,,
I Spit on Your Grave,2000000,572809,103,"['Thriller', 'Crime', 'Horror']",7.0594,6.5,2377,True,Steven R. Monroe,Sarah Butler,-1427191,-2.4915652512443067,2010,Anchor Bay Films,Thriller,Crime,Horror
Rise of the Planet of the Apes,93000000,481800873,105,"['Thriller', 'Action', 'Drama', 'Science Fiction']",7.0527,7.3,12182,True,Rupert Wyatt,Andy Serkis,388800873,0.8069741978238383,2011,Dune Entertainment,Thriller,Action,Drama
Virgin Territory,38000000,5410749,93,"['Adventure', 'Action', 'Comedy', 'Romance']",7.0463,4.828,337,False,David Leland,Hayden Christensen,-32589251,-6.023057251408262,2007,Zephyr Films,Adventure,Action,Comedy
Atonement,30000000,131016624,123,"['Drama', 'Romance']",7.0423,7.6,4385,False,Joe Wright,James McAvoy,101016624,0.771021423968305,2007,Universal Pictures,Drama,Romance,
Pig,3000000,3889432,92,"['Drama', 'Thriller', 'Mystery']",7.0343,6.656,1534,False,Michael Sarnoski,Nicolas Cage,889432,0.22867914903770012,2021,AI Film,Drama,Thriller,Mystery
Sisters,30000000,105000000,118,['Comedy'],7.0329,5.965,1401,False,Jason Moore,Amy Poehler,75000000,0.7142857142857143,2015,Little Stranger,Comedy,,
Death Race,45000000,76000000,105,"['Action', 'Thriller', 'Science Fiction']",7.0326,6.3,3882,True,Paul W. S. Anderson,Jason Statham,31000000,0.40789473684210525,2008,Impact Pictures,Action,Thriller,Science Fiction
The Wall,3000000,4500000,90,"['War', 'Thriller', 'Drama', 'Action']",7.0265,6.393,982,False,Doug Liman,Aaron Taylor-Johnson,1500000,0.3333333333333333,2017,Big Indie Pictures,War,Thriller,Drama
The Age of Adaline,25000000,65663276,112,"['Romance', 'Fantasy', 'Drama']",7.0247,7.481,6804,False,Lee Toland Krieger,Blake Lively,40663276,0.6192696812751164,2015,Lakeshore Entertainment,Romance,Fantasy,Drama
Cloudy with a Chance of Meatballs,100000000,242988466,90,"['Animation', 'Comedy', 'Family']",7.0238,6.6,6100,True,Christopher Miller,Bill Hader,142988466,0.5884578323976909,2009,Sony Pictures Animation,Animation,Comedy,Family
Nacho Libre,35000000,99255460,92,['Comedy'],7.0236,6.488,1705,False,Jared Hess,Jack Black,64255460,0.6473745625681449,2006,Paramount Pictures,Comedy,,
Sin City,40000000,158733820,124,"['Crime', 'Action']",7.0228,7.462,8343,True,Robert Rodriguez,Bruce Willis,118733820,0.748005812497929,2005,Dimension Films,Crime,Action,
Contagion,60000000,137551594,106,"['Drama', 'Thriller', 'Science Fiction']",7.0061,6.645,6207,False,Steven Soderbergh,Marion Cotillard,77551594,0.5638000385513526,2011,Participant,Drama,Thriller,Science Fiction
Hitman's Wife's Bodyguard,70000000,70060492,99,"['Action', 'Comedy', 'Crime', 'Thriller']",6.9877,6.7,2370,True,Patrick Hughes,Ryan Reynolds,60492,0.0008634252811127847,2021,Nu Boyana Film Studios,Action,Comedy,Crime
Molly's Game,30000000,59284015,140,"['Drama', 'Crime']",6.9836,7.147,3798,False,Aaron Sorkin,Jessica Chastain,29284015,0.49396139920685195,2017,The Mark Gordon Company,Drama,Crime,
Moonrise Kingdom,16000000,68263166,94,"['Comedy', 'Drama', 'Romance']",6.9785,7.679,5996,False,Wes Anderson,Jared Gilman,52263166,0.7656129807984587,2012,Indian Paintbrush,Comedy,Drama,Romance
Warrior,25000000,23300000,140,"['Drama', 'Action']",6.9769,7.844,4705,False,Gavin O'Connor,Joel Edgerton,-1700000,-0.07296137339055794,2011,Lionsgate,Drama,Action,
Godzilla vs. Kong,200000000,470116094,114,"['Action', 'Science Fiction', 'Adventure']",6.9696,7.571,10209,True,Adam Wingard,Alexander Skarsgård,270116094,0.5745731691542557,2021,Legendary Pictures,Action,Science Fiction,Adventure
King Richard,50000000,39400000,144,"['Drama', 'History']",6.9553,7.631,2604,False,Reinaldo Marcus Green,Will Smith,-10600000,-0.26903553299492383,2021,Star Thrower Entertainment,Drama,History,
"Lyle, Lyle, Crocodile",50000000,104088441,106,"['Comedy', 'Family', 'Music']",6.9533,6.967,607,False,Will Speck,Shawn Mendes,54088441,0.5196392652283072,2022,Eagle Pictures,Comedy,Family,Music
The Expendables 3,95000000,214657577,126,"['Action', 'Adventure', 'Thriller']",6.9416,6.207,5082,True,Patrick Hughes,Sylvester Stallone,119657577,0.5574346765313577,2014,Davis Films,Action,Adventure,Thriller
Déjà Vu,75000000,180557550,126,"['Action', 'Thriller', 'Science Fiction']",6.9371,6.9,4967,False,Tony Scott,Denzel Washington,105557550,0.5846199729670678,2006,Touchstone Pictures,Action,Thriller,Science Fiction
Jack and Jill,79000000,149700000,91,"['Comedy', 'Family']",6.9289,4.4,2131,False,Dennis Dugan,Adam Sandler,70700000,0.47227788911155644,2011,Broken Road Productions,Comedy,Family,
Underworld: Awakening,70000000,160112671,88,"['Fantasy', 'Action', 'Horror']",6.925,6.3,4154,True,Måns Mårlind,Kate Beckinsale,90112671,0.5628078679669268,2012,Screen Gems,Fantasy,Action,Horror
Blow,53000000,83300000,124,"['Crime', 'Drama']",6.9156,7.359,4380,False,Ted Demme,Johnny Depp,30300000,0.3637454981992797,2001,New Line Cinema,Crime,Drama,
Lightyear,200000000,226425420,105,"['Animation', 'Science Fiction', 'Family', 'Adventure']",6.9138,6.929,3546,False,Angus MacLane,Chris Evans,26425420,0.11670694924624629,2022,Pixar,Animation,Science Fiction,Family
Insidious: Chapter 2,5000000,161921515,106,"['Horror', 'Thriller']",6.9091,6.677,4334,True,James Wan,Patrick Wilson,156921515,0.9691208422796687,2013,Blumhouse Productions,Horror,Thriller,
Lost in Translation,4000000,119723856,102,"['Drama', 'Romance', 'Comedy']",6.9056,7.385,7555,False,Sofia Coppola,Bill Murray,115723856,0.9665897830754799,2003,American Zoetrope,Drama,Romance,Comedy
Austin Powers in Goldmember,63000000,296938801,94,"['Comedy', 'Crime', 'Science Fiction']",6.9006,6.0,3200,True,Jay Roach,Mike Myers,233938801,0.7878350697590376,2002,Eric's Boy,Comedy,Crime,Science Fiction
Unknown,30000000,130786397,113,"['Action', 'Mystery', 'Thriller']",6.891,6.7,3944,False,Jaume Collet-Serra,Liam Neeson,100786397,0.7706183464936341,2011,Panda Productions,Action,Mystery,Thriller
Beau Is Afraid,35000000,12337378,179,"['Comedy', 'Adventure', 'Fantasy']",6.886,6.7,1130,False,Ari Aster,Joaquin Phoenix,-22662622,-1.836907485528935,2023,A24,Comedy,Adventure,Fantasy
Isle of Dogs,62770198,64337744,101,"['Adventure', 'Comedy', 'Animation']",6.8814,7.85,5036,False,Wes Anderson,Bryan Cranston,1567546,0.0243643295916624,2018,Studio Babelsberg,Adventure,Comedy,Animation
Hansel & Gretel: Witch Hunters,50000000,226349749,88,"['Fantasy', 'Horror', 'Action']",6.8788,6.086,6823,False,Tommy Wirkola,Jeremy Renner,176349749,0.7791029138715767,2013,Paramount Pictures,Fantasy,Horror,Action
Clifford the Big Red Dog,64000000,107347356,97,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",6.8779,7.173,1759,False,Walt Becker,Darby Camp,43347356,0.4038045985967274,2021,Paramount Pictures,Family,Adventure,Comedy
Maze Runner: The Death Cure,62000000,288175335,143,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",6.8631,7.097,7977,True,Wes Ball,Dylan O'Brien,226175335,0.7848532040398253,2018,The Gotham Group,Science Fiction,Action,Adventure
Renfield,65000000,26874347,93,"['Comedy', 'Fantasy', 'Horror']",6.8621,6.485,1883,False,Chris McKay,Nicholas Hoult,-38125653,-1.4186634190590752,2023,Skybound Entertainment,Comedy,Fantasy,Horror
Star Trek Into Darkness,190000000,467381584,132,"['Action', 'Adventure', 'Science Fiction']",6.8565,7.321,9246,True,J.J. Abrams,Chris Pine,277381584,0.5934799176854174,2013,Bad Robot,Action,Adventure,Science Fiction
The Chronicles of Narnia: Prince Caspian,225000000,419665568,150,"['Adventure', 'Family', 'Fantasy']",6.842,6.619,6484,True,Andrew Adamson,William Moseley,194665568,0.4638588029218542,2008,Walt Disney Pictures,Adventure,Family,Fantasy
The Butterfly Effect,13000000,96800000,113,"['Science Fiction', 'Thriller']",6.8314,7.6,7732,True,Eric Bress,Ashton Kutcher,83800000,0.8657024793388429,2004,FilmEngine,Science Fiction,Thriller,
Only the Brave,38000000,25754775,133,"['Drama', 'Action']",6.8289,7.428,1649,False,Joseph Kosinski,Josh Brolin,-12245225,-0.4754545516316877,2017,di Bonaventura Pictures,Drama,Action,
Midway,100000000,127400000,138,"['Action', 'War', 'History']",6.8252,7.1,2550,False,Roland Emmerich,Ed Skrein,27400000,0.2150706436420722,2019,AGC Studios,Action,War,History
Evolution,80000000,98376292,101,"['Comedy', 'Science Fiction', 'Action']",6.8216,6.1,2302,False,Ivan Reitman,David Duchovny,18376292,0.18679594063171237,2001,DreamWorks Pictures,Comedy,Science Fiction,Action
Piranha 3D,24000000,83188165,88,"['Comedy', 'Horror']",6.8208,5.4,2270,True,Alexandre Aja,Elisabeth Shue,59188165,0.7114974227403622,2010,Atmosphere Entertainment MM,Comedy,Horror,
Despicable Me 3,80000000,1034800131,90,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",6.8165,6.466,7322,True,Kyle Balda,Steve Carell,954800131,0.9226903847386544,2017,Illumination,Action,Animation,Comedy
Fantastic Four: Rise of the Silver Surfer,130000000,301913131,92,"['Science Fiction', 'Adventure', 'Action']",6.8128,5.609,7981,True,Tim Story,Ioan Gruffudd,171913131,0.5694125672195424,2007,1492 Pictures,Science Fiction,Adventure,Action
Disobedience,6000000,8000000,114,"['Drama', 'Romance']",6.8091,6.889,1221,False,Sebastián Lelio,Rachel Weisz,2000000,0.25,2018,Braven Films,Drama,Romance,
Insurgent,110000000,297002527,119,"['Action', 'Science Fiction', 'Thriller']",6.7999,6.364,10119,True,Robert Schwentke,Shailene Woodley,187002527,0.6296327808685614,2015,Summit Entertainment,Action,Science Fiction,Thriller
Thanksgiving,15000000,46553280,106,"['Horror', 'Mystery']",6.7993,6.517,1343,True,Eli Roth,Patrick Dempsey,31553280,0.6777885468005691,2023,Electromagnetic Productions,Horror,Mystery,
RED 2,84000000,148075565,116,"['Action', 'Comedy', 'Crime', 'Thriller']",6.798,6.524,4110,True,Dean Parisot,Bruce Willis,64075565,0.4327220699782574,2013,di Bonaventura Pictures,Action,Comedy,Crime
The Interview,44000000,12342632,113,"['Action', 'Comedy']",6.7978,6.183,5920,False,Evan Goldberg,James Franco,-31657368,-2.564879840863764,2014,Point Grey Pictures,Action,Comedy,
Fantastic Mr. Fox,40000000,46471023,87,"['Adventure', 'Animation', 'Comedy', 'Family']",6.7974,7.8,5636,False,Wes Anderson,George Clooney,6471023,0.1392485592580994,2009,Regency Enterprises,Adventure,Animation,Comedy
I Now Pronounce You Chuck & Larry,85000000,187134117,115,"['Comedy', 'Romance']",6.7916,6.1,2396,False,Dennis Dugan,Adam Sandler,102134117,0.5457803132712566,2007,Universal Pictures,Comedy,Romance,
Zathura: A Space Adventure,65000000,65079104,101,"['Science Fiction', 'Adventure', 'Family']",6.7909,6.4,3350,False,Jon Favreau,Josh Hutcherson,79104,0.001215505364056641,2005,Teitler Film,Science Fiction,Adventure,Family
127 Hours,18000000,35700000,94,"['Adventure', 'Drama', 'Thriller']",6.7875,7.08,7688,False,Danny Boyle,James Franco,17700000,0.4957983193277311,2010,Fox Searchlight Pictures,Adventure,Drama,Thriller
The Father,6000000,21029340,97,['Drama'],6.764,8.113,3335,False,Florian Zeller,Anthony Hopkins,15029340,0.7146843410206882,2020,Les Films du Cru,Drama,,
The Canterville Ghost,10000000,2000000,89,"['Animation', 'Comedy', 'Family', 'Fantasy']",6.7603,6.646,41,False,Kim Burdon,Stephen Fry,-8000000,-4.0,2023,Arc Productions,Animation,Comedy,Family
